2022-04-25 13:24:51.862 +02:00 [INF] Worker secrets RabbitUser: guest
2022-04-25 13:29:19.904 +02:00 [INF] Worker running at: "2022-04-25T13:29:19.8970370+02:00"
2022-04-25 13:29:20.912 +02:00 [INF] Worker running at: "2022-04-25T13:29:20.9094439+02:00"
2022-04-25 13:29:21.927 +02:00 [INF] Worker running at: "2022-04-25T13:29:21.9232443+02:00"
2022-04-25 13:29:22.938 +02:00 [INF] Worker running at: "2022-04-25T13:29:22.9317413+02:00"
2022-04-25 13:29:23.956 +02:00 [INF] Worker running at: "2022-04-25T13:29:23.9513708+02:00"
2022-04-25 13:29:24.969 +02:00 [INF] Worker running at: "2022-04-25T13:29:24.9647820+02:00"
2022-04-25 13:30:32.414 +02:00 [ERR] error forzado division 0
System.DivideByZeroException: Attempted to divide by zero.
   at WorkerServiceScoring.Worker.ExecuteAsync(CancellationToken stoppingToken) in C:\Users\SabrinaGP\source\repos\ProyectoMorosityfct\WorkerServiceScoring\Worker.cs:line 22
2022-04-25 13:30:32.520 +02:00 [INF] Worker running at: "2022-04-25T13:30:32.4918767+02:00"
2022-04-25 13:30:32.528 +02:00 [INF] Application started. Press Ctrl+C to shut down.
2022-04-25 13:30:32.528 +02:00 [INF] Hosting environment: Development
2022-04-25 13:30:32.528 +02:00 [INF] Content root path: C:\Users\SabrinaGP\source\repos\ProyectoMorosityfct\WorkerServiceScoring
2022-04-25 13:30:33.538 +02:00 [INF] Worker running at: "2022-04-25T13:30:33.5361753+02:00"
2022-04-25 13:30:34.553 +02:00 [INF] Worker running at: "2022-04-25T13:30:34.5463424+02:00"
2022-04-25 13:30:35.562 +02:00 [INF] Worker running at: "2022-04-25T13:30:35.5586779+02:00"
2022-04-25 13:30:36.575 +02:00 [INF] Worker running at: "2022-04-25T13:30:36.5719824+02:00"
2022-04-25 13:30:37.596 +02:00 [INF] Worker running at: "2022-04-25T13:30:37.5948185+02:00"
2022-04-25 13:30:38.610 +02:00 [INF] Worker running at: "2022-04-25T13:30:38.6067753+02:00"
2022-04-25 13:30:39.629 +02:00 [INF] Worker running at: "2022-04-25T13:30:39.6252942+02:00"
2022-04-25 13:30:40.637 +02:00 [INF] Worker running at: "2022-04-25T13:30:40.6345011+02:00"
2022-04-25 13:30:41.651 +02:00 [INF] Worker running at: "2022-04-25T13:30:41.6466406+02:00"
2022-04-25 13:30:42.657 +02:00 [INF] Worker running at: "2022-04-25T13:30:42.6527123+02:00"
2022-04-25 13:30:43.698 +02:00 [INF] Worker running at: "2022-04-25T13:30:43.6644083+02:00"
2022-04-25 13:30:44.720 +02:00 [INF] Worker running at: "2022-04-25T13:30:44.7145324+02:00"
2022-04-25 13:30:45.727 +02:00 [INF] Worker running at: "2022-04-25T13:30:45.7238779+02:00"
2022-04-25 13:30:46.744 +02:00 [INF] Worker running at: "2022-04-25T13:30:46.7394471+02:00"
2022-04-25 13:30:47.763 +02:00 [INF] Worker running at: "2022-04-25T13:30:47.7591535+02:00"
2022-04-25 13:30:48.779 +02:00 [INF] Worker running at: "2022-04-25T13:30:48.7737811+02:00"
2022-04-25 13:30:49.794 +02:00 [INF] Worker running at: "2022-04-25T13:30:49.7896561+02:00"
2022-04-25 13:30:50.819 +02:00 [INF] Worker running at: "2022-04-25T13:30:50.8096452+02:00"
2022-04-25 13:30:51.867 +02:00 [INF] Worker running at: "2022-04-25T13:30:51.8348476+02:00"
2022-04-25 13:30:52.885 +02:00 [INF] Worker running at: "2022-04-25T13:30:52.8795357+02:00"
2022-04-25 13:30:53.906 +02:00 [INF] Worker running at: "2022-04-25T13:30:53.9047676+02:00"
2022-04-25 13:30:54.913 +02:00 [INF] Worker running at: "2022-04-25T13:30:54.9106748+02:00"
2022-04-25 13:30:55.929 +02:00 [INF] Worker running at: "2022-04-25T13:30:55.9272635+02:00"
2022-04-25 13:30:56.939 +02:00 [INF] Worker running at: "2022-04-25T13:30:56.9364396+02:00"
2022-04-25 13:30:57.950 +02:00 [INF] Worker running at: "2022-04-25T13:30:57.9482569+02:00"
2022-04-25 13:30:58.965 +02:00 [INF] Worker running at: "2022-04-25T13:30:58.9624293+02:00"
2022-04-25 13:31:00.012 +02:00 [INF] Worker running at: "2022-04-25T13:30:59.9794218+02:00"
2022-04-25 13:31:01.023 +02:00 [INF] Worker running at: "2022-04-25T13:31:01.0192891+02:00"
2022-04-25 13:31:02.036 +02:00 [INF] Worker running at: "2022-04-25T13:31:02.0334321+02:00"
2022-04-25 13:31:03.045 +02:00 [INF] Worker running at: "2022-04-25T13:31:03.0387119+02:00"
2022-04-25 13:31:04.056 +02:00 [INF] Worker running at: "2022-04-25T13:31:04.0524212+02:00"
2022-04-25 13:31:05.066 +02:00 [INF] Worker running at: "2022-04-25T13:31:05.0607460+02:00"
2022-04-25 13:31:06.073 +02:00 [INF] Worker running at: "2022-04-25T13:31:06.0671245+02:00"
2022-04-25 13:31:07.082 +02:00 [INF] Worker running at: "2022-04-25T13:31:07.0782194+02:00"
2022-04-25 13:31:08.093 +02:00 [INF] Worker running at: "2022-04-25T13:31:08.0871237+02:00"
2022-04-25 13:31:09.108 +02:00 [INF] Worker running at: "2022-04-25T13:31:09.1065751+02:00"
2022-04-25 13:31:10.116 +02:00 [INF] Worker running at: "2022-04-25T13:31:10.1139414+02:00"
2022-04-25 13:31:11.134 +02:00 [INF] Worker running at: "2022-04-25T13:31:11.1277751+02:00"
2022-04-25 13:31:12.148 +02:00 [INF] Worker running at: "2022-04-25T13:31:12.1427112+02:00"
2022-04-25 13:31:13.169 +02:00 [INF] Worker running at: "2022-04-25T13:31:13.1646883+02:00"
2022-04-25 13:31:14.180 +02:00 [INF] Worker running at: "2022-04-25T13:31:14.1760839+02:00"
2022-04-25 13:31:15.201 +02:00 [INF] Worker running at: "2022-04-25T13:31:15.1952251+02:00"
2022-04-25 13:31:16.206 +02:00 [INF] Worker running at: "2022-04-25T13:31:16.2034407+02:00"
2022-04-25 13:31:17.213 +02:00 [INF] Worker running at: "2022-04-25T13:31:17.2094993+02:00"
2022-04-25 13:31:18.226 +02:00 [INF] Worker running at: "2022-04-25T13:31:18.2232483+02:00"
2022-04-25 13:31:19.230 +02:00 [INF] Worker running at: "2022-04-25T13:31:19.2283037+02:00"
2022-04-25 13:31:20.245 +02:00 [INF] Worker running at: "2022-04-25T13:31:20.2395517+02:00"
2022-04-25 13:31:21.261 +02:00 [INF] Worker running at: "2022-04-25T13:31:21.2587758+02:00"
2022-04-25 13:31:22.284 +02:00 [INF] Worker running at: "2022-04-25T13:31:22.2798925+02:00"
2022-04-25 13:31:23.294 +02:00 [INF] Worker running at: "2022-04-25T13:31:23.2903189+02:00"
2022-04-25 13:31:24.306 +02:00 [INF] Worker running at: "2022-04-25T13:31:24.3012323+02:00"
2022-04-25 13:31:25.311 +02:00 [INF] Worker running at: "2022-04-25T13:31:25.3076098+02:00"
2022-04-25 13:31:26.331 +02:00 [INF] Worker running at: "2022-04-25T13:31:26.3277663+02:00"
2022-04-25 13:31:27.338 +02:00 [INF] Worker running at: "2022-04-25T13:31:27.3357259+02:00"
2022-04-25 13:31:28.347 +02:00 [INF] Worker running at: "2022-04-25T13:31:28.3446758+02:00"
2022-04-25 13:31:29.359 +02:00 [INF] Worker running at: "2022-04-25T13:31:29.3532728+02:00"
2022-04-25 13:31:30.369 +02:00 [INF] Worker running at: "2022-04-25T13:31:30.3639282+02:00"
2022-04-25 13:31:31.384 +02:00 [INF] Worker running at: "2022-04-25T13:31:31.3811465+02:00"
2022-04-25 13:31:32.393 +02:00 [INF] Worker running at: "2022-04-25T13:31:32.3880479+02:00"
2022-04-25 13:38:55.943 +02:00 [ERR] error forzado division 0
System.DivideByZeroException: Attempted to divide by zero.
   at WorkerServiceScoring.Worker.ExecuteAsync(CancellationToken stoppingToken) in C:\Users\SabrinaGP\source\repos\ProyectoMorosityfct\WorkerServiceScoring\Worker.cs:line 22
2022-04-25 13:38:56.024 +02:00 [INF] Worker running at: "2022-04-25T13:38:55.9913911+02:00"
2022-04-25 13:38:56.031 +02:00 [INF] Application started. Press Ctrl+C to shut down.
2022-04-25 13:38:56.031 +02:00 [INF] Hosting environment: Development
2022-04-25 13:38:56.031 +02:00 [INF] Content root path: C:\Users\SabrinaGP\source\repos\ProyectoMorosityfct\WorkerServiceScoring
2022-04-25 13:38:57.062 +02:00 [INF] Worker running at: "2022-04-25T13:38:57.0564378+02:00"
2022-04-25 13:38:58.075 +02:00 [INF] Worker running at: "2022-04-25T13:38:58.0699201+02:00"
2022-04-25 13:38:59.097 +02:00 [INF] Worker running at: "2022-04-25T13:38:59.0939222+02:00"
2022-04-25 13:39:00.107 +02:00 [INF] Worker running at: "2022-04-25T13:39:00.1045710+02:00"
2022-04-25 13:39:01.134 +02:00 [INF] Worker running at: "2022-04-25T13:39:01.1285235+02:00"
2022-04-25 13:39:02.155 +02:00 [INF] Worker running at: "2022-04-25T13:39:02.1511072+02:00"
2022-04-25 13:39:03.179 +02:00 [INF] Worker running at: "2022-04-25T13:39:03.1761116+02:00"
2022-04-25 13:39:04.197 +02:00 [INF] Worker running at: "2022-04-25T13:39:04.1942251+02:00"
2022-04-25 13:39:05.205 +02:00 [INF] Worker running at: "2022-04-25T13:39:05.2013280+02:00"
2022-04-25 13:39:06.220 +02:00 [INF] Worker running at: "2022-04-25T13:39:06.2140270+02:00"
2022-04-25 13:39:07.229 +02:00 [INF] Worker running at: "2022-04-25T13:39:07.2254033+02:00"
2022-04-25 13:39:08.233 +02:00 [INF] Worker running at: "2022-04-25T13:39:08.2311887+02:00"
2022-04-25 13:39:09.258 +02:00 [INF] Worker running at: "2022-04-25T13:39:09.2547439+02:00"
2022-04-25 13:39:10.298 +02:00 [INF] Worker running at: "2022-04-25T13:39:10.2665787+02:00"
2022-04-25 13:39:11.311 +02:00 [INF] Worker running at: "2022-04-25T13:39:11.3069363+02:00"
2022-04-25 13:39:12.325 +02:00 [INF] Worker running at: "2022-04-25T13:39:12.3181274+02:00"
2022-04-25 13:39:13.342 +02:00 [INF] Worker running at: "2022-04-25T13:39:13.3399912+02:00"
2022-04-25 13:39:14.354 +02:00 [INF] Worker running at: "2022-04-25T13:39:14.3522758+02:00"
2022-04-25 13:39:15.360 +02:00 [INF] Worker running at: "2022-04-25T13:39:15.3560460+02:00"
2022-04-25 13:39:16.368 +02:00 [INF] Worker running at: "2022-04-25T13:39:16.3657798+02:00"
2022-04-25 13:39:17.381 +02:00 [INF] Worker running at: "2022-04-25T13:39:17.3781834+02:00"
2022-04-25 13:39:18.391 +02:00 [INF] Worker running at: "2022-04-25T13:39:18.3869472+02:00"
2022-04-25 13:39:19.398 +02:00 [INF] Worker running at: "2022-04-25T13:39:19.3936590+02:00"
2022-04-25 13:39:20.411 +02:00 [INF] Worker running at: "2022-04-25T13:39:20.4042655+02:00"
2022-04-25 13:39:21.432 +02:00 [INF] Worker running at: "2022-04-25T13:39:21.4254027+02:00"
2022-04-25 13:39:22.442 +02:00 [INF] Worker running at: "2022-04-25T13:39:22.4372972+02:00"
2022-04-25 13:39:23.453 +02:00 [INF] Worker running at: "2022-04-25T13:39:23.4503251+02:00"
2022-04-25 13:39:24.467 +02:00 [INF] Worker running at: "2022-04-25T13:39:24.4617747+02:00"
2022-04-25 13:39:25.479 +02:00 [INF] Worker running at: "2022-04-25T13:39:25.4771550+02:00"
2022-04-25 13:39:26.486 +02:00 [INF] Worker running at: "2022-04-25T13:39:26.4813664+02:00"
2022-04-25 13:39:27.501 +02:00 [INF] Worker running at: "2022-04-25T13:39:27.4947757+02:00"
2022-04-25 13:39:28.512 +02:00 [INF] Worker running at: "2022-04-25T13:39:28.5062249+02:00"
2022-04-25 13:39:29.530 +02:00 [INF] Worker running at: "2022-04-25T13:39:29.5275293+02:00"
2022-04-25 13:39:30.554 +02:00 [INF] Worker running at: "2022-04-25T13:39:30.5483380+02:00"
2022-04-25 13:39:31.566 +02:00 [INF] Worker running at: "2022-04-25T13:39:31.5615299+02:00"
2022-04-25 13:39:32.577 +02:00 [INF] Worker running at: "2022-04-25T13:39:32.5734981+02:00"
2022-04-25 13:39:33.583 +02:00 [INF] Worker running at: "2022-04-25T13:39:33.5802419+02:00"
2022-04-25 13:39:34.607 +02:00 [INF] Worker running at: "2022-04-25T13:39:34.6032080+02:00"
2022-04-25 13:39:35.614 +02:00 [INF] Worker running at: "2022-04-25T13:39:35.6109480+02:00"
2022-04-25 13:39:36.624 +02:00 [INF] Worker running at: "2022-04-25T13:39:36.6145840+02:00"
2022-04-25 13:39:37.628 +02:00 [INF] Worker running at: "2022-04-25T13:39:37.6263301+02:00"
2022-04-25 13:39:38.634 +02:00 [INF] Worker running at: "2022-04-25T13:39:38.6317821+02:00"
2022-04-25 13:39:39.644 +02:00 [INF] Worker running at: "2022-04-25T13:39:39.6406046+02:00"
2022-04-25 13:39:40.661 +02:00 [INF] Worker running at: "2022-04-25T13:39:40.6595856+02:00"
2022-04-25 13:39:41.667 +02:00 [INF] Worker running at: "2022-04-25T13:39:41.6651909+02:00"
2022-04-25 13:39:42.683 +02:00 [INF] Worker running at: "2022-04-25T13:39:42.6799948+02:00"
2022-04-25 13:39:43.691 +02:00 [INF] Worker running at: "2022-04-25T13:39:43.6883254+02:00"
2022-04-25 13:39:44.712 +02:00 [INF] Worker running at: "2022-04-25T13:39:44.7100574+02:00"
2022-04-25 13:47:55.506 +02:00 [ERR] error forzado division 0
System.DivideByZeroException: Attempted to divide by zero.
   at WorkerServiceScoring.Worker.ExecuteAsync(CancellationToken stoppingToken) in C:\Users\SabrinaGP\source\repos\ProyectoMorosityfct\WorkerServiceScoring\Worker.cs:line 22
2022-04-25 13:47:55.580 +02:00 [INF] Worker running at: "2022-04-25T13:47:55.5601694+02:00"
2022-04-25 13:47:55.589 +02:00 [INF] Application started. Press Ctrl+C to shut down.
2022-04-25 13:47:55.589 +02:00 [INF] Hosting environment: Development
2022-04-25 13:47:55.589 +02:00 [INF] Content root path: C:\Users\SabrinaGP\source\repos\ProyectoMorosityfct\WorkerServiceScoring
2022-04-25 13:47:56.604 +02:00 [INF] Worker running at: "2022-04-25T13:47:56.5999029+02:00"
2022-04-25 13:47:57.653 +02:00 [INF] Worker running at: "2022-04-25T13:47:57.6216747+02:00"
2022-04-25 13:47:58.659 +02:00 [INF] Worker running at: "2022-04-25T13:47:58.6569402+02:00"
2022-04-25 13:47:59.672 +02:00 [INF] Worker running at: "2022-04-25T13:47:59.6669563+02:00"
2022-04-25 13:48:00.679 +02:00 [INF] Worker running at: "2022-04-25T13:48:00.6768972+02:00"
2022-04-25 13:48:01.691 +02:00 [INF] Worker running at: "2022-04-25T13:48:01.6888318+02:00"
2022-04-25 13:48:02.702 +02:00 [INF] Worker running at: "2022-04-25T13:48:02.6992897+02:00"
2022-04-25 13:48:03.719 +02:00 [INF] Worker running at: "2022-04-25T13:48:03.7165150+02:00"
2022-04-25 13:48:04.728 +02:00 [INF] Worker running at: "2022-04-25T13:48:04.7261616+02:00"
2022-04-25 13:48:05.734 +02:00 [INF] Worker running at: "2022-04-25T13:48:05.7296592+02:00"
2022-04-25 13:48:06.754 +02:00 [INF] Worker running at: "2022-04-25T13:48:06.7505010+02:00"
2022-04-25 13:48:07.768 +02:00 [INF] Worker running at: "2022-04-25T13:48:07.7641647+02:00"
2022-04-25 13:48:08.788 +02:00 [INF] Worker running at: "2022-04-25T13:48:08.7831183+02:00"
2022-04-25 13:48:09.820 +02:00 [INF] Worker running at: "2022-04-25T13:48:09.7893263+02:00"
2022-04-25 13:48:10.837 +02:00 [INF] Worker running at: "2022-04-25T13:48:10.8317522+02:00"
2022-04-25 13:48:11.845 +02:00 [INF] Worker running at: "2022-04-25T13:48:11.8393215+02:00"
2022-04-25 13:48:12.856 +02:00 [INF] Worker running at: "2022-04-25T13:48:12.8536480+02:00"
2022-04-25 13:48:13.860 +02:00 [INF] Worker running at: "2022-04-25T13:48:13.8566896+02:00"
2022-04-25 13:48:14.880 +02:00 [INF] Worker running at: "2022-04-25T13:48:14.8786196+02:00"
2022-04-25 13:48:15.887 +02:00 [INF] Worker running at: "2022-04-25T13:48:15.8831448+02:00"
2022-04-25 13:48:16.907 +02:00 [INF] Worker running at: "2022-04-25T13:48:16.9038312+02:00"
2022-04-25 13:48:17.935 +02:00 [INF] Worker running at: "2022-04-25T13:48:17.9303821+02:00"
2022-04-25 13:48:18.942 +02:00 [INF] Worker running at: "2022-04-25T13:48:18.9403662+02:00"
2022-04-25 13:48:19.949 +02:00 [INF] Worker running at: "2022-04-25T13:48:19.9471236+02:00"
2022-04-25 13:48:20.961 +02:00 [INF] Worker running at: "2022-04-25T13:48:20.9552089+02:00"
2022-04-25 13:48:21.970 +02:00 [INF] Worker running at: "2022-04-25T13:48:21.9643054+02:00"
2022-04-25 13:48:22.974 +02:00 [INF] Worker running at: "2022-04-25T13:48:22.9718118+02:00"
2022-04-25 13:48:23.986 +02:00 [INF] Worker running at: "2022-04-25T13:48:23.9835775+02:00"
2022-04-25 13:48:24.994 +02:00 [INF] Worker running at: "2022-04-25T13:48:24.9890362+02:00"
2022-04-25 13:48:26.000 +02:00 [INF] Worker running at: "2022-04-25T13:48:25.9960836+02:00"
2022-04-25 13:48:27.013 +02:00 [INF] Worker running at: "2022-04-25T13:48:27.0119863+02:00"
2022-04-25 13:48:28.025 +02:00 [INF] Worker running at: "2022-04-25T13:48:28.0230995+02:00"
2022-04-25 13:48:29.043 +02:00 [INF] Worker running at: "2022-04-25T13:48:29.0406001+02:00"
2022-04-25 13:48:30.047 +02:00 [INF] Worker running at: "2022-04-25T13:48:30.0450990+02:00"
2022-04-25 13:48:31.055 +02:00 [INF] Worker running at: "2022-04-25T13:48:31.0517072+02:00"
2022-04-25 13:48:32.066 +02:00 [INF] Worker running at: "2022-04-25T13:48:32.0630304+02:00"
2022-04-25 13:48:33.073 +02:00 [INF] Worker running at: "2022-04-25T13:48:33.0684374+02:00"
2022-04-25 13:48:34.091 +02:00 [INF] Worker running at: "2022-04-25T13:48:34.0884305+02:00"
2022-04-25 13:48:35.104 +02:00 [INF] Worker running at: "2022-04-25T13:48:35.1019630+02:00"
2022-04-25 13:48:36.126 +02:00 [INF] Worker running at: "2022-04-25T13:48:36.1246553+02:00"
2022-04-25 13:48:37.133 +02:00 [INF] Worker running at: "2022-04-25T13:48:37.1280652+02:00"
2022-04-25 13:48:38.156 +02:00 [INF] Worker running at: "2022-04-25T13:48:38.1502811+02:00"
2022-04-25 13:48:39.173 +02:00 [INF] Worker running at: "2022-04-25T13:48:39.1699743+02:00"
2022-04-25 13:48:40.181 +02:00 [INF] Worker running at: "2022-04-25T13:48:40.1794856+02:00"
2022-04-25 13:48:41.195 +02:00 [INF] Worker running at: "2022-04-25T13:48:41.1887521+02:00"
2022-04-25 13:48:42.203 +02:00 [INF] Worker running at: "2022-04-25T13:48:42.2000146+02:00"
2022-04-25 13:48:43.208 +02:00 [INF] Worker running at: "2022-04-25T13:48:43.2067407+02:00"
2022-04-25 13:48:44.222 +02:00 [INF] Worker running at: "2022-04-25T13:48:44.2131072+02:00"
2022-04-25 13:48:45.239 +02:00 [INF] Worker running at: "2022-04-25T13:48:45.2379397+02:00"
2022-04-25 13:48:46.247 +02:00 [INF] Worker running at: "2022-04-25T13:48:46.2432675+02:00"
2022-04-25 13:48:47.254 +02:00 [INF] Worker running at: "2022-04-25T13:48:47.2492476+02:00"
2022-04-25 13:48:48.269 +02:00 [INF] Worker running at: "2022-04-25T13:48:48.2655363+02:00"
2022-04-25 13:48:49.278 +02:00 [INF] Worker running at: "2022-04-25T13:48:49.2762105+02:00"
2022-04-25 13:48:50.287 +02:00 [INF] Worker running at: "2022-04-25T13:48:50.2813614+02:00"
2022-04-25 13:48:51.297 +02:00 [INF] Worker running at: "2022-04-25T13:48:51.2936587+02:00"
2022-04-25 13:48:52.312 +02:00 [INF] Worker running at: "2022-04-25T13:48:52.3107478+02:00"
2022-04-25 13:48:53.330 +02:00 [INF] Worker running at: "2022-04-25T13:48:53.3236672+02:00"
2022-04-25 13:48:54.346 +02:00 [INF] Worker running at: "2022-04-25T13:48:54.3430361+02:00"
2022-04-25 13:48:55.358 +02:00 [INF] Worker running at: "2022-04-25T13:48:55.3527694+02:00"
2022-04-25 13:48:56.380 +02:00 [INF] Worker running at: "2022-04-25T13:48:56.3774292+02:00"
2022-04-25 13:48:57.388 +02:00 [INF] Worker running at: "2022-04-25T13:48:57.3825987+02:00"
2022-04-25 13:48:58.395 +02:00 [INF] Worker running at: "2022-04-25T13:48:58.3921132+02:00"
2022-04-25 13:48:59.400 +02:00 [INF] Worker running at: "2022-04-25T13:48:59.3949918+02:00"
2022-04-25 13:49:00.412 +02:00 [INF] Worker running at: "2022-04-25T13:49:00.4090272+02:00"
2022-04-25 13:49:01.425 +02:00 [INF] Worker running at: "2022-04-25T13:49:01.4190889+02:00"
2022-04-25 13:49:02.434 +02:00 [INF] Worker running at: "2022-04-25T13:49:02.4295827+02:00"
2022-04-25 13:50:12.979 +02:00 [ERR] error forzado division 0
System.DivideByZeroException: Attempted to divide by zero.
   at WorkerServiceScoring.Worker.ExecuteAsync(CancellationToken stoppingToken) in C:\Users\SabrinaGP\source\repos\ProyectoMorosityfct\WorkerServiceScoring\Worker.cs:line 22
2022-04-25 13:50:13.089 +02:00 [INF] Worker running at: "2022-04-25T13:50:13.0631200+02:00"
